stage_group,processing_step,avg_percentage_of_stage,std_percentage_of_stage,min_percentage_of_stage,max_percentage_of_stage,avg_percentage_of_project,std_percentage_of_project,min_percentage_of_project,max_percentage_of_project,total_runtime_seconds,avg_runtime_seconds,num_projects
Stage 1 + 2,ADD_DEPENDENCIES,0.02,0.01,0.01,0.05,0.0,0.0,0.0,0.0,0.257,0.03671428571428571,7
Stage 1 + 2,ANALYZE_TESTS,1.35,0.82,0.53,2.61,0.01,0.0,0.0,0.01,17.0850284,2.4407183428571426,7
Stage 1 + 2,BUILD_PROJECT_ORIGINAL,2.36,1.28,0.97,4.33,0.01,0.01,0.0,0.03,30.118,4.3025714285714285,7
Stage 1 + 2,BUILD_SPOON_MODEL,1.58,0.95,0.48,2.72,0.01,0.01,0.0,0.02,18.697,2.671,7
Stage 1 + 2,COLLECT_JACOCO_DATA_ORIGINAL,1.12,0.59,0.53,1.96,0.01,0.0,0.0,0.01,14.071,2.0101428571428572,7
Stage 1 + 2,COLLECT_JUNIT_REPORTS_ORIGINAL,3.95,2.33,1.57,7.63,0.02,0.02,0.01,0.05,48.577024,6.9395748571428575,7
Stage 1 + 2,EXECUTE_TESTS_ORIGINAL,82.91,7.49,75.11,91.88,0.38,0.08,0.25,0.5,1548.976,221.28228571428573,7
Stage 1 + 2,FILTER_ASSERTIONS,2.59,1.17,1.31,3.99,0.01,0.01,0.01,0.02,36.2182455,5.174035071428571,7
Stage 1 + 2,FILTER_TESTS,1.29,0.43,0.56,1.96,0.01,0.0,0.0,0.01,22.51077262,3.21582466,7
Stage 1 + 2,FILTER_TESTS_ORIGINAL,1.7,0.48,1.12,2.32,0.01,0.0,0.01,0.01,26.9864603,3.8552086142857145,7
Stage 1 + 2,SETUP_PROJECT,1.13,0.7,0.39,2.38,0.01,0.0,0.0,0.02,13.779,1.9684285714285714,7
Stage 3,ADD_JPF_INSTRUMENTATION,1.57,1.57,0.24,4.78,0.02,0.02,0.01,0.05,59.4074073,8.486772471428571,7
Stage 3,ANALYZE_JPF,4.71,2.48,1.8,7.8,0.08,0.03,0.05,0.12,274.6427855,39.23468364285714,7
Stage 3,BUILD_PROJECT_INITIAL,1.05,1.3,0.2,3.88,0.01,0.01,0.01,0.04,36.643,5.234714285714285,7
Stage 3,BUILD_PROJECT_INSTRUMENTED,1.47,1.9,0.29,5.66,0.02,0.02,0.01,0.06,52.096000000000004,7.442285714285715,7
Stage 3,CLEANUP_JPF_INSTRUMENTATION,0.07,0.04,0.02,0.13,0.0,0.0,0.0,0.0,4.027,0.5752857142857143,7
Stage 3,COLLECT_JUNIT_REPORTS_INITIAL,0.41,0.24,0.16,0.84,0.01,0.0,0.0,0.01,26.387876300000002,3.7696966142857145,7
Stage 3,EXECUTE_JPF,65.31,22.71,33.25,90.46,1.71,1.63,0.27,4.84,7142.43725,1020.3481785714285,7
Stage 3,EXECUTE_TESTS_INITIAL,25.41,17.71,5.84,53.99,0.38,0.14,0.22,0.65,1740.436,248.63371428571426,7
Stage 4,BUILD_PROJECT_GENERALIZED,0.75,0.18,0.63,1.15,0.32,0.09,0.22,0.5,1113.153031,159.0218615714286,7
Stage 4,CLEANUP_GENERALIZATION,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,9.714999839999999,1.3878571199999998,7
Stage 4,COLLECT_JUNIT_REPORTS_GENERALIZED,0.23,0.06,0.15,0.33,0.1,0.03,0.05,0.14,361.692962,51.670423142857146,7
Stage 4,EXECUTE_TESTS_GENERALIZED,95.96,0.36,95.42,96.31,40.2,5.41,33.65,47.82,154721.93,22103.132857142857,7
Stage 4,FILTER_GENERALIZATIONS,0.23,0.1,0.07,0.32,0.09,0.03,0.03,0.13,438.730889,62.675841285714284,7
Stage 4,GENERALIZE_TESTS,2.83,0.32,2.47,3.23,1.2,0.27,0.89,1.61,4323.62563,617.6608042857142,7
Stage 5,COLLECT_JACOCO_DATA_GENERALIZED,0.1,0.07,0.04,0.24,0.05,0.04,0.02,0.13,136.383001,19.483285857142857,7
Stage 5,COLLECT_JACOCO_DATA_INITIAL,0.01,0.01,0.0,0.02,0.01,0.0,0.0,0.01,14.474,2.0677142857142856,7
Stage 5,COLLECT_PIT_DATA_GENERALIZED,88.72,3.58,81.28,92.6,49.15,5.94,41.67,55.5,213181.1903,30454.455757142856,7
Stage 5,COLLECT_PIT_DATA_INITIAL,5.55,1.67,3.64,8.93,3.08,0.99,2.08,4.86,12833.938,1833.4197142857142,7
Stage 5,COLLECT_PIT_DATA_ORIGINAL,5.63,1.86,3.65,9.53,3.12,1.08,2.09,5.18,12831.93,1833.1328571428571,7
